"Check","Severity","Excluded","Type","Description","Details"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(126.7 mm, 95.8 mm): Rectangle of X1 on F.Silkscreen;@(126.95 mm, 97.32 mm): Pad 1 [GND] of X1 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(126.7 mm, 95.8 mm): Rectangle of X1 on F.Silkscreen;@(127.45 mm, 97.32 mm): Pad 2 [GND] of X1 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(131.4 mm, 95.8 mm): Rectangle of X5 on F.Silkscreen;@(132.65 mm, 95.78 mm): Pad 4 [/Sensor Group/RX2] of X5 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(131.4 mm, 95.8 mm): Rectangle of X5 on F.Silkscreen;@(132.15 mm, 95.78 mm): Pad 5 [GND] of X5 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(131.4 mm, 95.8 mm): Rectangle of X5 on F.Silkscreen;@(131.65 mm, 95.78 mm): Pad 6 [VDD] of X5 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0900 mm)","@(131.4 mm, 95.8 mm): Rectangle of X5 on F.Silkscreen;@(132.65 mm, 97.32 mm): Pad 3 [Net-(X5-RX)] of X5 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(131.4 mm, 95.8 mm): Rectangle of X5 on F.Silkscreen;@(132.15 mm, 97.32 mm): Pad 2 [GND] of X5 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(131.4 mm, 95.8 mm): Rectangle of X5 on F.Silkscreen;@(131.65 mm, 97.32 mm): Pad 1 [GND] of X5 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(131.4 mm, 100.5 mm): Rectangle of X6 on F.Silkscreen;@(132.65 mm, 100.48 mm): Pad 4 [Net-(X5-RX)] of X6 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(131.4 mm, 100.5 mm): Rectangle of X6 on F.Silkscreen;@(132.15 mm, 100.48 mm): Pad 5 [GND] of X6 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(131.4 mm, 100.5 mm): Rectangle of X6 on F.Silkscreen;@(131.65 mm, 100.48 mm): Pad 6 [VDD] of X6 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0900 mm)","@(131.4 mm, 100.5 mm): Rectangle of X6 on F.Silkscreen;@(132.65 mm, 102.02 mm): Pad 3 [Net-(X6-RX)] of X6 on F.Cu"
"Violations","warning","False","silk_overlap","Silkscreen clearance (rule 'Pad to Silkscreen Clearance' clearance 0.1500 mm; actual 0.0000 mm)","@(131.4 mm, 100.5 mm): Rectangle of X6 on F.Silkscreen;@(131.65 mm, 102.02 mm): Pad 1 [GND] of X6 on F.Cu"
